time,response_time,version,model_date
02:09:09,17.449,0.2.0,2024-02-16 06:27:06.328215627
02:09:12,19.813,0.2.0,2024-02-16 06:27:06.328215627
02:09:13,12.911,0.2.0,2024-02-16 06:27:06.328215627
02:09:14,17.614,0.2.0,2024-02-16 06:27:06.328215627
02:09:18,11.979,0.2.0,2024-02-16 06:27:06.328215627
02:09:20,14.776,0.2.0,2024-02-16 06:27:06.328215627
02:09:23,16.955,0.2.0,2024-02-16 06:27:06.328215627
02:09:25,12.790,0.2.0,2024-02-16 06:27:06.328215627
02:09:27,18.883,0.2.0,2024-02-16 06:27:06.328215627
02:09:31,11.936,0.2.0,2024-02-16 06:27:06.328215627
02:09:34,11.537,0.2.0,2024-02-16 06:27:06.328215627
02:09:39,18.485,0.2.0,2024-02-16 06:27:06.328215627
02:09:40,12.219,0.2.0,2024-02-16 06:27:06.328215627
02:09:42,18.984,0.2.0,2024-02-16 06:27:06.328215627
02:09:43,13.760,0.2.0,2024-02-16 06:27:06.328215627
02:09:47,20.462,0.2.0,2024-02-16 06:27:06.328215627
02:09:49,12.495,0.2.0,2024-02-16 06:27:06.328215627
02:09:50,20.241,0.2.0,2024-02-16 06:27:06.328215627
02:09:51,12.874,0.2.0,2024-02-16 06:27:06.328215627
02:09:58,20.581,0.2.0,2024-02-16 06:27:06.328215627
02:09:59,12.925,0.2.0,2024-02-16 06:27:06.328215627
02:10:04,22.053,0.2.0,2024-02-16 06:27:06.328215627
02:10:05,14.102,0.2.0,2024-02-16 06:27:06.328215627
02:10:06,19.187,0.2.0,2024-02-16 06:27:06.328215627
02:10:10,11.350,0.2.0,2024-02-16 06:27:06.328215627
02:10:11,18.723,0.2.0,2024-02-16 06:27:06.328215627
02:10:13,13.716,0.2.0,2024-02-16 06:27:06.328215627
02:10:16,11.505,0.2.0,2024-02-16 06:27:06.328215627
02:10:17,14.180,0.2.0,2024-02-16 06:27:06.328215627
02:10:23,20.312,0.2.0,2024-02-16 06:27:06.328215627
02:10:25,12.106,0.2.0,2024-02-16 06:27:06.328215627
02:10:30,21.836,0.2.0,2024-02-16 06:27:06.328215627
02:10:31,12.828,0.2.0,2024-02-16 06:27:06.328215627
02:10:33,15.313,0.2.0,2024-02-16 06:27:06.328215627
02:10:35,22.189,0.2.0,2024-02-16 06:27:06.328215627
02:10:36,13.515,0.2.0,2024-02-16 06:27:06.328215627
02:10:39,15.989,0.2.0,2024-02-16 06:27:06.328215627
02:10:40,11.815,0.2.0,2024-02-16 06:27:06.328215627
02:10:48,16.386,0.2.0,2024-02-16 06:27:06.328215627
02:10:53,21.083,0.2.0,2024-02-16 06:27:06.328215627
02:10:54,16.539,0.2.0,2024-02-16 06:27:06.328215627
02:10:55,12.020,0.2.0,2024-02-16 06:27:06.328215627
02:10:56,22.537,0.2.0,2024-02-16 06:27:06.328215627
02:10:57,12.649,0.2.0,2024-02-16 06:27:06.328215627
02:10:58,15.416,0.2.0,2024-02-16 06:27:06.328215627
02:11:02,15.679,0.2.0,2024-02-16 06:27:06.328215627
02:11:03,11.898,0.2.0,2024-02-16 06:27:06.328215627
02:11:04,16.295,0.2.0,2024-02-16 06:27:06.328215627
02:11:05,12.844,0.2.0,2024-02-16 06:27:06.328215627
02:11:07,16.407,0.2.0,2024-02-16 06:27:06.328215627
02:11:09,16.641,0.2.0,2024-02-16 06:27:06.328215627
02:11:12,11.828,0.2.0,2024-02-16 06:27:06.328215627
02:11:13,15.799,0.2.0,2024-02-16 06:27:06.328215627
02:11:14,11.636,0.2.0,2024-02-16 06:27:06.328215627
02:11:17,18.148,0.2.0,2024-02-16 06:27:06.328215627
02:11:19,12.021,0.2.0,2024-02-16 06:27:06.328215627
02:11:20,15.352,0.2.0,2024-02-16 06:27:06.328215627
02:11:21,19.652,0.2.0,2024-02-16 06:27:06.328215627
02:11:22,15.648,0.2.0,2024-02-16 06:27:06.328215627
02:11:23,22.211,0.2.0,2024-02-16 06:27:06.328215627
02:11:24,17.321,0.2.0,2024-02-16 06:27:06.328215627
02:11:27,21.970,0.2.0,2024-02-16 06:27:06.328215627
02:11:28,12.421,0.2.0,2024-02-16 06:27:06.328215627
02:11:30,18.890,0.2.0,2024-02-16 06:27:06.328215627
02:11:31,12.712,0.2.0,2024-02-16 06:27:06.328215627
02:11:32,17.950,0.2.0,2024-02-16 06:27:06.328215627
02:11:33,12.964,0.2.0,2024-02-16 06:27:06.328215627
02:11:37,20.017,0.2.0,2024-02-16 06:27:06.328215627
02:11:38,15.033,0.2.0,2024-02-16 06:27:06.328215627
02:11:40,12.264,0.2.0,2024-02-16 06:27:06.328215627
02:11:41,20.288,0.2.0,2024-02-16 06:27:06.328215627
02:11:42,11.555,0.2.0,2024-02-16 06:27:06.328215627
02:11:44,18.472,0.2.0,2024-02-16 06:27:06.328215627
02:11:46,14.585,0.2.0,2024-02-16 06:27:06.328215627
02:11:48,22.395,0.2.0,2024-02-16 06:27:06.328215627
02:11:49,12.246,0.2.0,2024-02-16 06:27:06.328215627
02:11:50,20.778,0.2.0,2024-02-16 06:27:06.328215627
02:11:51,11.404,0.2.0,2024-02-16 06:27:06.328215627
02:11:53,16.237,0.2.0,2024-02-16 06:27:06.328215627
02:11:54,12.785,0.2.0,2024-02-16 06:27:06.328215627
02:11:56,11.365,0.2.0,2024-02-16 06:27:06.328215627
02:11:57,20.707,0.2.0,2024-02-16 06:27:06.328215627
02:11:58,12.052,0.2.0,2024-02-16 06:27:06.328215627
02:12:00,20.917,0.2.0,2024-02-16 06:27:06.328215627
02:12:01,27.245,0.2.0,2024-02-16 06:27:06.328215627
02:12:02,16.953,0.2.0,2024-02-16 06:27:06.328215627
02:12:03,12.635,0.2.0,2024-02-16 06:27:06.328215627
02:12:04,15.219,0.2.0,2024-02-16 06:27:06.328215627
02:12:06,21.573,0.2.0,2024-02-16 06:27:06.328215627
02:12:07,12.377,0.2.0,2024-02-16 06:27:06.328215627
02:12:08,22.915,0.2.0,2024-02-16 06:27:06.328215627
02:12:09,11.748,0.2.0,2024-02-16 06:27:06.328215627
02:12:10,15.503,0.2.0,2024-02-16 06:27:06.328215627
02:12:11,22.501,0.2.0,2024-02-16 06:27:06.328215627
02:12:12,14.138,0.2.0,2024-02-16 06:27:06.328215627
02:12:15,21.204,0.2.0,2024-02-16 06:27:06.328215627
02:12:19,11.824,0.2.0,2024-02-16 06:27:06.328215627
02:12:20,20.960,0.2.0,2024-02-16 06:27:06.328215627
02:12:21,12.756,0.2.0,2024-02-16 06:27:06.328215627
02:12:22,15.774,0.2.0,2024-02-16 06:27:06.328215627
02:12:23,23.793,0.2.0,2024-02-16 06:27:06.328215627
02:12:24,13.916,0.2.0,2024-02-16 06:27:06.328215627
02:12:25,19.565,0.2.0,2024-02-16 06:27:06.328215627
02:12:26,15.246,0.2.0,2024-02-16 06:27:06.328215627
02:12:28,12.025,0.2.0,2024-02-16 06:27:06.328215627
02:12:31,17.379,0.2.0,2024-02-16 06:27:06.328215627
02:12:35,13.028,0.2.0,2024-02-16 06:27:06.328215627
02:12:38,11.516,0.2.0,2024-02-16 06:27:06.328215627
02:12:39,15.920,0.2.0,2024-02-16 06:27:06.328215627
02:12:42,11.580,0.2.0,2024-02-16 06:27:06.328215627
02:12:43,14.782,0.2.0,2024-02-16 06:27:06.328215627
02:12:44,11.805,0.2.0,2024-02-16 06:27:06.328215627
02:12:45,17.124,0.2.0,2024-02-16 06:27:06.328215627
02:12:48,12.615,0.2.0,2024-02-16 06:27:06.328215627
02:12:54,16.678,0.2.0,2024-02-16 06:27:06.328215627
02:12:55,12.431,0.2.0,2024-02-16 06:27:06.328215627
02:12:56,16.871,0.2.0,2024-02-16 06:27:06.328215627
02:13:00,16.308,0.2.0,2024-02-16 06:27:06.328215627
02:13:01,12.724,0.2.0,2024-02-16 06:27:06.328215627
02:13:08,16.381,0.2.0,2024-02-16 06:27:06.328215627
